expID,date,loc1,loc2,numLoc,district,distCode,accidentType,weather,vehicleType,personType,ageRange,sex,utmXcoord,utmYcoord,alcoholPositive,person_id,long,lat
2025S022835,2025-02-26T11:05:00Z,CALLE CAPITAN BLANCO ARGIBAY,CALLE MULLER,36,Tetuán,6,Fall,SKC,Motocicleta hasta 125cc,Driver,50 to 54 years,Male,440773.0,4479644.0,False,1,-3.6986148190672137,40.46535952494993
2025S022835,2025-02-26T11:05:00Z,CALLE CAPITAN BLANCO ARGIBAY,CALLE MULLER,36,Tetuán,6,Fall,SKC,passenger car,Driver,40 to 44 years,Female,440773.0,4479644.0,False,2,-3.6986148190672137,40.46535952494993
2025S022835,2025-02-26T11:05:00Z,CALLE CAPITAN BLANCO ARGIBAY,CALLE MULLER,36,Tetuán,6,Fall,SKC,passenger car,Passenger,45 to 49 years,Female,440773.0,4479644.0,False,3,-3.6986148190672137,40.46535952494993
2025S022836,2025-02-26T09:15:00Z,"AVDA. MENENDEZ PELAYO, 67",,67,Retiro,3,Front-to-side collision,SKC,Motocicleta hasta 125cc,Driver,25 to 29 years,Male,442582.0,4473779.0,False,1,-3.6767481004057476,40.41265174086196
2025S022836,2025-02-26T09:15:00Z,"AVDA. MENENDEZ PELAYO, 67",,67,Retiro,3,Front-to-side collision,SKC,passenger car,Driver,45 to 49 years,Male,442582.0,4473779.0,False,2,-3.6767481004057476,40.41265174086196
2025S022843,2025-02-26T11:50:00Z,"AEROP. TERMINAL T-1, 0",,0,Barajas,21,Fall,SKC,bus,Driver,50 to 54 years,Male,451623.0,4479398.0,False,1,-3.570621086192702,40.46384604948766
2025S022843,2025-02-26T11:50:00Z,"AEROP. TERMINAL T-1, 0",,0,Barajas,21,Fall,SKC,bus,Passenger,30 to 34 years,Female,451623.0,4479398.0,False,2,-3.570621086192702,40.46384604948766
2025S022843,2025-02-26T11:50:00Z,"AEROP. TERMINAL T-1, 0",,0,Barajas,21,Fall,SKC,bus,Passenger,55 to 59 years,Female,451623.0,4479398.0,False,3,-3.570621086192702,40.46384604948766
2025S022851,2025-02-26T09:50:00Z,CALLE XAUDARO,CALLE LA ESTRADA,24,Fuencarral-El Pardo,8,Rear-end collision,SKC,passenger car,Driver,40 to 44 years,Male,441209.0,4482306.0,False,1,-3.69371910658493,40.48937084237646
2025S022851,2025-02-26T09:50:00Z,CALLE XAUDARO,CALLE LA ESTRADA,24,Fuencarral-El Pardo,8,Rear-end collision,SKC,passenger car,Driver,,,441209.0,4482306.0,False,2,-3.69371910658493,40.48937084237646
2025S022852,2025-02-26T12:35:00Z,"CALLE FUENTE CARRANTONA, 39",,39,Moratalaz,14,Rear-end collision,SKC,passenger car,Driver,30 to 34 years,Female,446452.0,4473244.0,False,1,-3.6310926575645333,40.40809010400621
2025S022852,2025-02-26T12:35:00Z,"CALLE FUENTE CARRANTONA, 39",,39,Moratalaz,14,Rear-end collision,SKC,passenger car,Driver,55 to 59 years,Female,446452.0,4473244.0,False,2,-3.6310926575645333,40.40809010400621
