id_participacion,num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,wikidata_distrito_uri,wikidata_distrito_qid,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S025275-31731,2024S025275,2024-09-03,23:00:00,Call. Villaamil / Call. San Restituto,79,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Colisión Frontal,Despejado,Furgoneta,Conductor,De 35 A 39 Años,Desconocido,,,439860,4479549,,
2024S025277-31732,2024S025277,2024-09-03,1:00:00,"Call. Eje 5, 2",2,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,Q1947988,Alcance,Despejado,Furgoneta,Conductor,De 35 A 39 Años,Desconocido,,,444300,4468284,,
2024S025277-31733,2024S025277,2024-09-03,1:00:00,"Call. Eje 5, 2",2,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,Q1947988,Alcance,Despejado,Tractocamión,Conductor,De 50 A 54 Años,Desconocido,,,444300,4468284,,
2024S025278-31734,2024S025278,2024-09-03,23:50:00,"Call. Luis Del Campo, 1",1,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,Q1763694,Colisión Múltiple,Despejado,Furgoneta,Conductor,Desconocido,Desconocido,,,446296,4475518,,
2024S025278-31735,2024S025278,2024-09-03,23:50:00,"Call. Luis Del Campo, 1",1,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,Q1763694,Colisión Múltiple,Despejado,Furgoneta,Conductor,Desconocido,Desconocido,,,446296,4475518,,
2024S025278-31736,2024S025278,2024-09-03,23:50:00,"Call. Luis Del Campo, 1",1,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,Q1763694,Colisión Múltiple,Despejado,Turismo,Conductor,De 30 A 34 Años,Desconocido,,,446296,4475518,,
2024S025278-31737,2024S025278,2024-09-03,23:50:00,"Call. Luis Del Campo, 1",1,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,Q1763694,Colisión Múltiple,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,446296,4475518,,
2024S025278-31738,2024S025278,2024-09-03,23:50:00,"Call. Luis Del Campo, 1",1,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,Q1763694,Colisión Múltiple,Despejado,Turismo,Pasajero,De 30 A 34 Años,Desconocido,,,446296,4475518,,
2024S025279-31739,2024S025279,2024-09-04,2:00:00,Call. San Sebastian / Plaza. Angel,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Q1763376,Colisión Lateral,Despejado,Ciclomotor,Conductor,De 25 A 29 Años,Desconocido,,,440491,4473973,,
2024S025279-31740,2024S025279,2024-09-04,2:00:00,Call. San Sebastian / Plaza. Angel,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Q1763376,Colisión Lateral,Despejado,Turismo,Conductor,De 25 A 29 Años,Desconocido,,,440491,4473973,,
2024S025280-31741,2024S025280,2024-09-03,13:40:00,Avda. Entrevias / Call. Serena,81,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Alcance,Despejado,Turismo,Conductor,De 18 A 20 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,443496,4470061,,
2024S025280-31742,2024S025280,2024-09-03,13:40:00,Avda. Entrevias / Call. Serena,81,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Alcance,Despejado,Turismo,Conductor,De 35 A 39 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,443496,4470061,,
2024S025280-31743,2024S025280,2024-09-03,13:40:00,Avda. Entrevias / Call. Serena,81,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Alcance,Despejado,Turismo,Pasajero,De 50 A 54 Años,Desconocido,14,Sin Asistencia Sanitaria,443496,4470061,,
2024S025280-31744,2024S025280,2024-09-03,13:40:00,Avda. Entrevias / Call. Serena,81,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Alcance,Despejado,Turismo,Pasajero,De 70 A 74 Años,Desconocido,14,Sin Asistencia Sanitaria,443496,4470061,,
2024S025281-31745,2024S025281,2024-09-04,6:50:00,Avda. Talgo / Call. Cerro De Valdecahonde,30,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Atropello A Persona,Nublado,Turismo,Conductor,Desconocido,Desconocido,,,433208,4477715,,
2024S025281-31746,2024S025281,2024-09-04,6:50:00,Avda. Talgo / Call. Cerro De Valdecahonde,30,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Atropello A Persona,Nublado,Turismo,Peatón,De 15 A 17 Años,Desconocido,2,Ingreso Inferior O Igual A 24 Horas,433208,4477715,,
2024S025282-31747,2024S025282,2024-09-04,7:18:00,Avda. Ciudad De Barcelona / Call. Julian Gayarre,5,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Caída,Despejado,Motocicleta > 125cc,Conductor,De 55 A 59 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,442014,4472955,,
