idTram,infoDisponible,data,tempsActual,tempsPrevist,tempsRecorregutFutur,factorReferenciaActual,tendencia
43,0,20250801004552,0,0,-1,-1,-1
44,0,20250801004552,0,0,-1,-1,-1
45,0,20250801004552,0,0,-1,-1,-1
46,0,20250801004552,0,0,-1,-1,-1
47,1,20250801004552,180,180,1,1,1
48,0,20250801004552,0,0,-1,-1,-1
49,1,20250801004552,304,304,1,1,1
50,1,20250801004552,190,190,1,1,1
51,1,20250801004552,269,269,1,1,1
52,1,20250801004552,299,299,1,1,1
53,1,20250801004552,149,149,1,1,1
54,1,20250801004552,164,164,1,1,1
55,1,20250801004552,0,0,-1,-1,-1
56,1,20250801004552,0,0,-1,-1,-1
57,1,20250801004552,0,0,-1,-1,-1
58,1,20250801004552,0,0,-1,-1,-1
59,1,20250801004552,164,164,1,1,1
60,1,20250801004552,415,414,1,1,1
61,1,20250801004552,285,303,1,1,1
62,0,20250801004552,1108,1108,1,1,1
63,0,20250801004552,0,0,-1,-1,-1
64,0,20250801004552,0,0,-1,-1,-1
65,1,20250801004552,139,142,1,1,1
66,1,20250801004552,0,0,-1,-1,-1
67,1,20250801004552,218,210,1,1,1
68,1,20250801004552,110,113,1,1,1
69,1,20250801004552,130,134,1,1,1
70,1,20250801004552,138,139,1,1,1
71,0,20250801004552,98,95,1,1,1
72,0,20250801004552,192,178,1,1,1
73,0,20250801004552,117,116,1,1,1
74,0,20250801004552,96,103,2,1,0
75,0,20250801004552,236,223,1,1,1
76,0,20250801004552,87,85,1,1,1
77,1,20250801004552,430,430,1,1,1
78,1,20250801004552,425,425,1,1,1
1,1,20250801010053,301,300,1,1,1
2,1,20250801010053,0,0,-1,-1,-1
3,1,20250801010053,304,304,1,1,1
4,1,20250801010053,328,326,1,1,1
5,1,20250801010053,174,174,1,1,1
6,1,20250801010053,275,275,1,1,1
7,1,20250801010053,187,187,1,1,1
8,0,20250801010053,0,0,-1,-1,-1
9,0,20250801010053,0,0,-1,-1,-1
10,1,20250801010053,171,170,1,1,1
11,1,20250801010053,0,0,-1,-1,-1
12,1,20250801010053,99,99,1,1,1
13,1,20250801010053,234,234,1,1,1
14,0,20250801010053,0,0,-1,-1,-1
15,1,20250801010053,220,221,1,1,1
16,1,20250801010053,237,237,1,1,1
17,1,20250801010053,192,192,1,1,1
18,1,20250801010053,0,0,-1,-1,-1
19,0,20250801010053,0,0,-1,-1,-1
20,0,20250801010053,0,0,-1,-1,-1
21,1,20250801010053,0,0,-1,-1,-1
22,1,20250801010053,270,270,1,1,1
23,1,20250801010053,189,189,1,1,1
24,1,20250801010053,0,0,-1,-1,-1
25,1,20250801010053,0,0,-1,-1,-1
26,1,20250801010053,260,260,1,1,1
27,1,20250801010053,185,185,1,1,1
28,1,20250801010053,0,0,-1,-1,-1
29,1,20250801010053,364,363,1,1,1
30,1,20250801010053,395,394,1,1,1
31,1,20250801010053,219,219,1,1,1
32,1,20250801010053,0,0,-1,-1,-1
33,1,20250801010053,0,0,-1,-1,-1
34,1,20250801010053,220,220,1,1,1
35,1,20250801010053,150,150,1,1,1
36,1,20250801010053,0,0,-1,-1,-1
37,1,20250801010053,205,205,1,1,1
38,1,20250801010053,204,204,1,1,1
39,1,20250801010053,109,109,1,1,1
40,1,20250801010053,0,0,-1,-1,-1
