ESTACION,MAGNITUD,pollutantLabel,Pollutant_URI,PUNTO_MUESTREO,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
38,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079038_8_8,13,V,14,V,4,V,4,V,5,V,7,V,11,V,18,V,29,V,27,V,21,V,16,V,15,V,13,V,14,V,11,V,16,V,19,V,21,V,29,V,27,V,15,V,7,V,0,N
38,9,PM 2.5,https://www.wikidata.org/entity/Q48035814,28079038_9_47,5,V,5,V,5,V,5,V,7,V,5,V,6,V,5,V,8,V,8,V,15,V,8,V,2,V,5,V,1,V,5,V,7,V,5,V,5,V,4,V,5,V,5,V,11,V,0,N
39,12,NOx,https://www.wikidata.org/entity/Q20962970,28079039_12_8,8,V,8,V,5,V,3,V,4,V,6,V,13,V,19,V,24,V,18,V,16,V,16,V,13,V,13,V,11,V,11,V,9,V,15,V,22,V,33,V,26,V,21,V,11,V,0,N
39,14,ozone,https://www.wikidata.org/entity/Q36933,28079039_14_6,80,V,75,V,76,V,81,V,74,V,69,V,63,V,60,V,58,V,64,V,66,V,73,V,79,V,83,V,86,V,85,V,87,V,81,V,72,V,58,V,59,V,61,V,69,V,0,N
39,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079039_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,1,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V,2,V,1,V,1,V,1,V,0,V,0,N
39,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079039_8_8,7,V,7,V,5,V,3,V,4,V,6,V,12,V,19,V,24,V,17,V,14,V,12,V,10,V,10,V,8,V,9,V,8,V,13,V,19,V,31,V,25,V,20,V,10,V,0,N
4,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079004_10_A,11,V,9,V,9,V,9,V,11,V,11,V,11,V,12,V,16,V,22,V,20,V,22,V,44,V,30,V,17,V,15,V,16,V,14,V,12,V,13,V,14,V,15,V,18,V,0,N
4,12,NOx,https://www.wikidata.org/entity/Q20962970,28079004_12_8,15,V,21,V,11,V,8,V,7,V,9,V,10,V,14,V,20,V,21,V,22,V,18,V,19,V,20,V,16,V,17,V,16,V,14,V,15,V,23,V,24,V,21,V,11,V,0,N
4,6,carbon monoxide,https://www.wikidata.org/entity/Q2025,28079004_6_48,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.1,V,0.2,V,0.2,V,0.2,V,0.2,V,0.1,V,0,N
4,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079004_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,1,V,2,V,1,V,1,V,1,V,0,V,0,V,0,V,1,V,0,V,0,V,0,V,0,N
4,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079004_8_8,15,V,21,V,11,V,8,V,7,V,9,V,10,V,14,V,20,V,21,V,21,V,17,V,16,V,18,V,15,V,16,V,15,V,13,V,14,V,22,V,23,V,21,V,11,V,0,N
4,9,PM 2.5,https://www.wikidata.org/entity/Q48035814,28079004_9_A,5,V,4,V,4,V,4,V,5,V,5,V,6,V,6,V,7,V,8,V,7,V,7,V,9,V,8,V,6,V,5,V,5,V,4,V,5,V,5,V,5,V,6,V,6,V,0,N
40,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079040_10_47,20,V,15,V,18,V,17,V,11,V,19,V,19,V,20,V,25,V,21,V,28,V,36,V,28,V,41,V,17,V,9,V,15,V,17,V,8,V,14,V,11,V,15,V,15,V,0,N
40,12,NOx,https://www.wikidata.org/entity/Q20962970,28079040_12_8,8,V,10,V,9,V,9,V,7,V,14,V,22,V,35,V,37,V,36,V,21,V,17,V,19,V,14,V,17,V,15,V,15,V,15,V,18,V,28,V,23,V,16,V,11,V,0,N
40,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079040_7_8,1,V,1,V,1,V,1,V,1,V,1,V,2,V,3,V,4,V,6,V,4,V,3,V,4,V,3,V,5,V,2,V,3,V,3,V,3,V,3,V,2,V,2,V,1,V,0,N
40,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079040_8_8,7,V,8,V,8,V,8,V,6,V,13,V,19,V,31,V,31,V,28,V,16,V,11,V,13,V,9,V,10,V,11,V,9,V,11,V,13,V,23,V,20,V,14,V,9,V,0,N
47,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079047_10_47,16,V,11,V,12,V,13,V,9,V,12,V,14,V,16,V,20,V,26,V,25,V,26,V,33,V,35,V,24,V,23,V,21,V,18,V,17,V,16,V,13,V,14,V,14,V,0,N
47,12,NOx,https://www.wikidata.org/entity/Q20962970,28079047_12_8,8,V,11,V,12,V,7,V,7,V,7,V,12,V,26,V,39,V,36,V,24,V,15,V,13,V,14,V,10,V,11,V,12,V,15,V,12,V,20,V,25,V,18,V,11,V,0,N
47,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079047_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,2,V,3,V,3,V,2,V,2,V,2,V,1,V,1,V,1,V,1,V,0,V,0,V,1,V,0,V,0,V,0,N
47,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079047_8_8,8,V,11,V,12,V,7,V,7,V,6,V,12,V,26,V,36,V,31,V,20,V,12,V,10,V,11,V,8,V,9,V,9,V,13,V,11,V,19,V,24,V,17,V,10,V,0,N
47,9,PM 2.5,https://www.wikidata.org/entity/Q48035814,28079047_9_47,5,V,5,V,5,V,8,V,6,V,6,V,7,V,8,V,8,V,9,V,11,V,9,V,11,V,7,V,7,V,3,V,4,V,7,V,6,V,5,V,4,V,5,V,5,V,0,N
48,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079048_10_47,21,V,15,V,16,V,14,V,19,V,21,V,17,V,21,V,24,V,28,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
48,12,NOx,https://www.wikidata.org/entity/Q20962970,28079048_12_8,11,V,15,V,5,V,3,V,4,V,5,V,6,V,11,V,17,V,16,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
48,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079048_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
48,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079048_8_8,11,V,15,V,5,V,3,V,4,V,5,V,6,V,11,V,17,V,16,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
48,9,PM 2.5,https://www.wikidata.org/entity/Q48035814,28079048_9_47,7,V,9,V,7,V,5,V,9,V,11,V,7,V,11,V,11,V,12,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
49,12,NOx,https://www.wikidata.org/entity/Q20962970,28079049_12_8,8,V,17,V,12,V,5,V,5,V,6,V,12,V,17,V,22,V,27,V,21,V,13,V,9,V,9,V,7,V,5,V,6,V,8,V,8,V,13,V,21,V,15,V,9,V,0,N
