num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,same_as_wikidata_district,tipo_accidente,estado_meteorológico,tipo_vehiculo,same_as_wikidata_tipo_vehiculo,tipo_persona,rango_edad,sexo,same_as_wikidata_sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S017944,14/02/2025,22:01:00,CALL. ALCALA / CALL. RAQUEL MELLER,236,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,444227,4475898,true,
2025S017944,14/02/2025,22:01:00,CALL. ALCALA / CALL. RAQUEL MELLER,236,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Pasajero,De 40 a 44 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,444227,4475898,false,
2025S017952,14/02/2025,23:35:00,CALL. ALCALA / AUTOV. M-30,249,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,,,443986,4475875,false,
2025S017952,14/02/2025,23:35:00,CALL. ALCALA / AUTOV. M-30,249,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,,,443986,4475875,false,
2025S018005,14/02/2025,21:00:00,CALL. VICENTE ESPINEL / alcala,45,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Alcance,Despejado,van,https://wikidata.org/entity/Q193468,Conductor,De 40 a 44 años,male,https://wikidata.org/entity/Q6581097,,,445615,4476377,true,
2025S018005,14/02/2025,21:00:00,CALL. VICENTE ESPINEL / alcala,45,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Alcance,Despejado,van,https://wikidata.org/entity/Q193468,Pasajero,De 30 a 34 años,female,https://wikidata.org/entity/Q6581072,,,445615,4476377,false,
2025S018005,14/02/2025,21:00:00,CALL. VICENTE ESPINEL / alcala,45,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,,,445615,4476377,false,
2025S018120,14/02/2025,16:35:00,AVDA. ASTURIAS / CALL. VIA LIMITE,68,6,Tetuán,hhtps://wikidata.org/entity/Q1773540,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 40 a 44 años,female,https://wikidata.org/entity/Q6581072,,,440721,4480426,false,
2025S018120,14/02/2025,16:35:00,AVDA. ASTURIAS / CALL. VIA LIMITE,68,6,Tetuán,hhtps://wikidata.org/entity/Q1773540,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 65 a 69 años,male,https://wikidata.org/entity/Q6581097,,,440721,4480426,false,
2025S018120,14/02/2025,16:35:00,AVDA. ASTURIAS / CALL. VIA LIMITE,68,6,Tetuán,hhtps://wikidata.org/entity/Q1773540,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Pasajero,De 30 a 34 años,female,https://wikidata.org/entity/Q6581072,,,440721,4480426,false,
2025S018120,14/02/2025,16:35:00,AVDA. ASTURIAS / CALL. VIA LIMITE,68,6,Tetuán,hhtps://wikidata.org/entity/Q1773540,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Pasajero,De 30 a 34 años,female,https://wikidata.org/entity/Q6581072,,,440721,4480426,false,
2025S018121,14/02/2025,20:15:00,PASEO. DELICIAS / CALL. GUILLERMO DE OSMA,124,2,Arganzuela,hhtps://wikidata.org/entity/Q2000929,Caída,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Conductor,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,6,Asistencia sanitaria inmediata en centro de salud o mutua,441030,4471696,false,
2025S018172,14/02/2025,17:10:00,CTRA. CARABANCHEL A ARAVACA / CALL. DANIEL SEGOVIA,11,10,Latina,hhtps://wikidata.org/entity/Q794954,Otro,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,,,434405,4471875,false,
2025S018177,14/02/2025,22:15:00,CALL. JACOMETREZO / CALL. GRAN VIA,15,1,Centro,hhtps://wikidata.org/entity/Q1763376,Colisión lateral,,bus,https://wikidata.org/entity/Q5638,Conductor,De 55 a 59 años,male,https://wikidata.org/entity/Q6581097,,,440086,4474659,false,
2025S018177,14/02/2025,22:15:00,CALL. JACOMETREZO / CALL. GRAN VIA,15,1,Centro,hhtps://wikidata.org/entity/Q1763376,Colisión lateral,,car,https://wikidata.org/entity/Q1420,Conductor,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,,,440086,4474659,false,
