nom_cabina,country,Commons category,population,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,21h,Buena,64 µg/m³,21h,Bona,63 µg/m³,21h,Buena,22 µg/m³,11/06/2018 22:00,1528747502
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,21h,Buena,75 µg/m³,21h,Bona,23 µg/m³,NA,NA,NA,11/06/2018 22:00,1528747502
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,21h,Buena,86 µg/m³,21h,Bona,16 µg/m³,21h,Buena,20 µg/m³,11/06/2018 22:00,1528747502
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,21h,Buena,74 µg/m³,21h,Bona,30 µg/m³,21h,Buena,21 µg/m³,11/06/2018 22:00,1528747502
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,21h,Bona,33 µg/m³,21h,Buena,24 µg/m³,11/06/2018 22:00,1528747502
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,20h,Bona,15 µg/m³,NA,NA,NA,11/06/2018 23:00,1528751105
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,22h,Buena,51 µg/m³,22h,Bona,58 µg/m³,22h,Buena,29 µg/m³,11/06/2018 23:00,1528751105
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,22h,Buena,64 µg/m³,22h,Bona,60 µg/m³,22h,Buena,22 µg/m³,11/06/2018 23:00,1528751105
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,22h,Buena,65 µg/m³,22h,Bona,31 µg/m³,NA,NA,NA,11/06/2018 23:00,1528751105
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,22h,Buena,85 µg/m³,22h,Bona,13 µg/m³,22h,Buena,20 µg/m³,11/06/2018 23:00,1528751105
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,22h,Buena,61 µg/m³,22h,Bona,39 µg/m³,22h,Buena,21 µg/m³,11/06/2018 23:00,1528751105
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,22h,Bona,40 µg/m³,22h,Buena,24 µg/m³,11/06/2018 23:00,1528751105
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/06/2018 0:00,1528754703
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,23h,Buena,59 µg/m³,23h,Bona,42 µg/m³,23h,Buena,29 µg/m³,12/06/2018 0:00,1528754703
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,23h,Buena,59 µg/m³,23h,Bona,65 µg/m³,23h,Buena,22 µg/m³,12/06/2018 0:00,1528754703
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,23h,Buena,61 µg/m³,23h,Bona,33 µg/m³,NA,NA,NA,12/06/2018 0:00,1528754703
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,23h,Buena,80 µg/m³,23h,Bona,16 µg/m³,23h,Buena,20 µg/m³,12/06/2018 0:00,1528754703
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,0h,Buena,69 µg/m³,0h,Bona,25 µg/m³,0h,Buena,20 µg/m³,12/06/2018 0:00,1528754703
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,0h,Bona,29 µg/m³,0h,Buena,24 µg/m³,12/06/2018 0:00,1528754703
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,0h,Bona,23 µg/m³,NA,NA,NA,12/06/2018 1:00,1528758306
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,0h,Buena,60 µg/m³,0h,Bona,41 µg/m³,0h,Buena,30 µg/m³,12/06/2018 1:00,1528758306
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,0h,Buena,66 µg/m³,0h,Bona,41 µg/m³,0h,Buena,22 µg/m³,12/06/2018 1:00,1528758306
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,0h,Buena,72 µg/m³,0h,Bona,11 µg/m³,NA,NA,NA,12/06/2018 1:00,1528758306
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,0h,Buena,65 µg/m³,0h,Bona,24 µg/m³,0h,Buena,20 µg/m³,12/06/2018 1:00,1528758306
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,0h,Buena,63 µg/m³,0h,Bona,33 µg/m³,0h,Buena,21 µg/m³,12/06/2018 1:00,1528758306
