nom_cabina,country,Commons category,population,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,15h,Bona,10 µg/m³,15h,Buena,26 µg/m³,25/06/2018 16:00,1529935502
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,15h,Bona,21 µg/m³,NA,NA,NA,25/06/2018 17:00,1529939102
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,16h,Buena,80 µg/m³,16h,Bona,50 µg/m³,16h,Buena,32 µg/m³,25/06/2018 17:00,1529939102
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,16h,Buena,93 µg/m³,16h,Bona,30 µg/m³,16h,Buena,26 µg/m³,25/06/2018 17:00,1529939102
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,16h,Buena,98 µg/m³,16h,Bona,8 µg/m³,NA,NA,NA,25/06/2018 17:00,1529939102
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,16h,Buena,97 µg/m³,16h,Bona,11 µg/m³,16h,Buena,24 µg/m³,25/06/2018 17:00,1529939102
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,16h,Buena,95 µg/m³,16h,Bona,23 µg/m³,16h,Buena,21 µg/m³,25/06/2018 17:00,1529939102
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,16h,Bona,11 µg/m³,16h,Buena,26 µg/m³,25/06/2018 17:00,1529939102
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,15h,Bona,21 µg/m³,NA,NA,NA,25/06/2018 18:00,1529942703
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,17h,Buena,72 µg/m³,17h,Bona,64 µg/m³,17h,Buena,32 µg/m³,25/06/2018 18:00,1529942703
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,17h,Buena,88 µg/m³,17h,Bona,37 µg/m³,17h,Buena,26 µg/m³,25/06/2018 18:00,1529942703
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,17h,Buena,100 µg/m³,17h,Bona,7 µg/m³,NA,NA,NA,25/06/2018 18:00,1529942703
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,17h,Buena,97 µg/m³,17h,Bona,13 µg/m³,17h,Buena,24 µg/m³,25/06/2018 18:00,1529942703
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,17h,Buena,94 µg/m³,17h,Bona,30 µg/m³,17h,Buena,21 µg/m³,25/06/2018 18:00,1529942703
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,17h,Bona,13 µg/m³,17h,Buena,26 µg/m³,25/06/2018 18:00,1529942703
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,16h,--,--,NA,NA,NA,25/06/2018 19:00,1529946302
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,18h,Buena,66 µg/m³,18h,Bona,71 µg/m³,18h,Buena,33 µg/m³,25/06/2018 19:00,1529946302
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,18h,Buena,84 µg/m³,18h,Bona,47 µg/m³,18h,Buena,26 µg/m³,25/06/2018 19:00,1529946302
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,18h,Buena,97 µg/m³,18h,Bona,6 µg/m³,NA,NA,NA,25/06/2018 19:00,1529946302
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,18h,Buena,96 µg/m³,18h,Bona,16 µg/m³,18h,Buena,24 µg/m³,25/06/2018 19:00,1529946302
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,18h,Buena,99 µg/m³,18h,Bona,28 µg/m³,18h,Buena,21 µg/m³,25/06/2018 19:00,1529946302
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,18h,Bona,11 µg/m³,18h,Buena,27 µg/m³,25/06/2018 19:00,1529946302
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,17h,--,--,NA,NA,NA,25/06/2018 20:00,1529949902
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,19h,Buena,58 µg/m³,19h,Bona,82 µg/m³,19h,Buena,32 µg/m³,25/06/2018 20:00,1529949902
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,19h,Buena,77 µg/m³,19h,Bona,54 µg/m³,19h,Buena,25 µg/m³,25/06/2018 20:00,1529949902
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,19h,Buena,96 µg/m³,19h,Bona,8 µg/m³,NA,NA,NA,25/06/2018 20:00,1529949902
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,19h,Buena,92 µg/m³,19h,Bona,18 µg/m³,19h,Buena,25 µg/m³,25/06/2018 20:00,1529949902
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,19h,Buena,94 µg/m³,19h,Bona,34 µg/m³,19h,Buena,21 µg/m³,25/06/2018 20:00,1529949902
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,19h,Bona,13 µg/m³,19h,Buena,26 µg/m³,25/06/2018 20:00,1529949902
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,19h,--,--,NA,NA,NA,25/06/2018 21:00,1529953505
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,20h,Buena,65 µg/m³,20h,Bona,66 µg/m³,21h,Buena,32 µg/m³,25/06/2018 21:00,1529953505
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,20h,Buena,72 µg/m³,20h,Bona,63 µg/m³,21h,Buena,25 µg/m³,25/06/2018 21:00,1529953505
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,20h,Buena,93 µg/m³,20h,Bona,10 µg/m³,NA,NA,NA,25/06/2018 21:00,1529953505
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,20h,Buena,86 µg/m³,20h,Bona,21 µg/m³,21h,Buena,24 µg/m³,25/06/2018 21:00,1529953505
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,20h,Buena,77 µg/m³,20h,Bona,46 µg/m³,21h,Buena,22 µg/m³,25/06/2018 21:00,1529953505
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,20h,Bona,14 µg/m³,21h,Buena,26 µg/m³,25/06/2018 21:00,1529953505
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,21h,Bona,35 µg/m³,NA,NA,NA,25/06/2018 22:00,1529957102
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,21h,Buena,69 µg/m³,21h,Bona,61 µg/m³,21h,Buena,32 µg/m³,25/06/2018 22:00,1529957102
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,21h,Buena,76 µg/m³,21h,Bona,45 µg/m³,21h,Buena,25 µg/m³,25/06/2018 22:00,1529957102
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,21h,Buena,86 µg/m³,21h,Bona,12 µg/m³,NA,NA,NA,25/06/2018 22:00,1529957102
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,21h,Buena,86 µg/m³,21h,Bona,19 µg/m³,21h,Buena,24 µg/m³,25/06/2018 22:00,1529957102
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,21h,Buena,84 µg/m³,21h,Bona,35 µg/m³,21h,Buena,22 µg/m³,25/06/2018 22:00,1529957102
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,21h,Bona,12 µg/m³,21h,Buena,25 µg/m³,25/06/2018 22:00,1529957102
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/06/2018 23:00,1529960705
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,NA,NA,NA,NA,NA,NA,23h,Buena,32 µg/m³,25/06/2018 23:00,1529960705
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,NA,NA,NA,NA,NA,NA,23h,Buena,25 µg/m³,25/06/2018 23:00,1529960705
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,--,IL,01,08019050,2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/06/2018 23:00,1529960705
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,NA,NA,NA,NA,NA,NA,23h,Buena,24 µg/m³,25/06/2018 23:00,1529960705
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,NA,NA,NA,NA,NA,NA,23h,Buena,22 µg/m³,25/06/2018 23:00,1529960705
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,NA,NA,NA,23h,Buena,23 µg/m³,25/06/2018 23:00,1529960705
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,23h,Bona,21 µg/m³,NA,NA,NA,26/06/2018 0:00,1529964303
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,23h,Buena,80 µg/m³,23h,Bona,36 µg/m³,23h,Buena,31 µg/m³,26/06/2018 0:00,1529964303
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,23h,Buena,85 µg/m³,23h,Bona,26 µg/m³,23h,Buena,24 µg/m³,26/06/2018 0:00,1529964303
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,23h,Buena,82 µg/m³,23h,Bona,7 µg/m³,NA,NA,NA,26/06/2018 0:00,1529964303
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,23h,Buena,81 µg/m³,23h,Bona,18 µg/m³,23h,Buena,23 µg/m³,26/06/2018 0:00,1529964303
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,23h,Buena,85 µg/m³,23h,Bona,20 µg/m³,23h,Buena,22 µg/m³,26/06/2018 0:00,1529964303
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,23h,Bona,9 µg/m³,23h,Buena,23 µg/m³,26/06/2018 0:00,1529964303
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,0h,Bona,52 µg/m³,NA,NA,NA,26/06/2018 1:00,1529967905
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,0h,Buena,84 µg/m³,0h,Bona,30 µg/m³,1h,Buena,30 µg/m³,26/06/2018 1:00,1529967905
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,0h,Buena,77 µg/m³,0h,Bona,33 µg/m³,1h,Buena,24 µg/m³,26/06/2018 1:00,1529967905
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,0h,Buena,85 µg/m³,0h,Bona,5 µg/m³,NA,NA,NA,26/06/2018 1:00,1529967905
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,0h,Buena,68 µg/m³,0h,Bona,28 µg/m³,1h,Buena,23 µg/m³,26/06/2018 1:00,1529967905
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,0h,Buena,86 µg/m³,0h,Bona,20 µg/m³,1h,Buena,21 µg/m³,26/06/2018 1:00,1529967905
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,0h,Bona,7 µg/m³,1h,Buena,23 µg/m³,26/06/2018 1:00,1529967905
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,0h,Bona,52 µg/m³,NA,NA,NA,26/06/2018 2:00,1529971503
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,1h,Buena,59 µg/m³,1h,Bona,48 µg/m³,1h,Buena,30 µg/m³,26/06/2018 2:00,1529971503
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,1h,Buena,67 µg/m³,1h,Bona,38 µg/m³,1h,Buena,24 µg/m³,26/06/2018 2:00,1529971503
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,1h,Buena,84 µg/m³,1h,Bona,8 µg/m³,NA,NA,NA,26/06/2018 2:00,1529971503
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,1h,Buena,63 µg/m³,1h,Bona,28 µg/m³,1h,Buena,23 µg/m³,26/06/2018 2:00,1529971503
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,1h,Buena,63 µg/m³,1h,Bona,34 µg/m³,1h,Buena,21 µg/m³,26/06/2018 2:00,1529971503
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,1h,Bona,9 µg/m³,1h,Buena,23 µg/m³,26/06/2018 2:00,1529971503
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,1h,--,--,NA,NA,NA,26/06/2018 3:00,1529975105
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,2h,Buena,57 µg/m³,2h,Bona,45 µg/m³,3h,Buena,31 µg/m³,26/06/2018 3:00,1529975105
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,2h,Buena,65 µg/m³,2h,Bona,35 µg/m³,3h,Buena,23 µg/m³,26/06/2018 3:00,1529975105
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,2h,Buena,81 µg/m³,2h,Bona,10 µg/m³,NA,NA,NA,26/06/2018 3:00,1529975105
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,2h,Buena,61 µg/m³,2h,Bona,23 µg/m³,3h,Buena,21 µg/m³,26/06/2018 3:00,1529975105
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,2h,Buena,51 µg/m³,2h,Bona,39 µg/m³,3h,Buena,21 µg/m³,26/06/2018 3:00,1529975105
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,2h,Bona,8 µg/m³,3h,Buena,23 µg/m³,26/06/2018 3:00,1529975105
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,1h,--,--,NA,NA,NA,26/06/2018 4:00,1529978703
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,3h,Buena,55 µg/m³,3h,Bona,40 µg/m³,3h,Buena,31 µg/m³,26/06/2018 4:00,1529978703
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,3h,Buena,61 µg/m³,3h,Bona,34 µg/m³,3h,Buena,23 µg/m³,26/06/2018 4:00,1529978703
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,3h,Buena,69 µg/m³,3h,Bona,18 µg/m³,NA,NA,NA,26/06/2018 4:00,1529978703
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,3h,Buena,49 µg/m³,3h,Bona,29 µg/m³,3h,Buena,21 µg/m³,26/06/2018 4:00,1529978703
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,3h,Buena,54 µg/m³,3h,Bona,29 µg/m³,3h,Buena,21 µg/m³,26/06/2018 4:00,1529978703
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,3h,Bona,12 µg/m³,4h,Buena,23 µg/m³,26/06/2018 4:00,1529978703
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,3h,--,--,NA,NA,NA,26/06/2018 5:00,1529982305
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,4h,Buena,34 µg/m³,4h,Bona,51 µg/m³,5h,Buena,31 µg/m³,26/06/2018 5:00,1529982305
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,4h,Buena,56 µg/m³,4h,Bona,34 µg/m³,5h,Buena,22 µg/m³,26/06/2018 5:00,1529982305
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,4h,Buena,47 µg/m³,4h,Bona,33 µg/m³,NA,NA,NA,26/06/2018 5:00,1529982305
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,4h,Buena,59 µg/m³,4h,Bona,21 µg/m³,5h,Buena,20 µg/m³,26/06/2018 5:00,1529982305
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,4h,Buena,64 µg/m³,4h,Bona,18 µg/m³,5h,Buena,21 µg/m³,26/06/2018 5:00,1529982305
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,4h,Bona,25 µg/m³,5h,Buena,22 µg/m³,26/06/2018 5:00,1529982305
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,3h,--,--,NA,NA,NA,26/06/2018 6:00,1529985902
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,5h,Buena,50 µg/m³,5h,Bona,36 µg/m³,5h,Buena,31 µg/m³,26/06/2018 6:00,1529985902
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,5h,Buena,65 µg/m³,5h,Bona,24 µg/m³,5h,Buena,22 µg/m³,26/06/2018 6:00,1529985902
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,5h,Buena,24 µg/m³,5h,Bona,60 µg/m³,NA,NA,NA,26/06/2018 6:00,1529985902
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,5h,Buena,67 µg/m³,5h,Bona,17 µg/m³,5h,Buena,20 µg/m³,26/06/2018 6:00,1529985902
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,5h,Buena,62 µg/m³,5h,Bona,21 µg/m³,5h,Buena,21 µg/m³,26/06/2018 6:00,1529985902
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,5h,Bona,32 µg/m³,5h,Buena,23 µg/m³,26/06/2018 6:00,1529985902
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,5h,--,--,NA,NA,NA,26/06/2018 7:00,1529989505
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,6h,Buena,52 µg/m³,6h,Bona,33 µg/m³,7h,Buena,30 µg/m³,26/06/2018 7:00,1529989505
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,6h,Buena,57 µg/m³,6h,Bona,31 µg/m³,7h,Buena,22 µg/m³,26/06/2018 7:00,1529989505
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,6h,Buena,20 µg/m³,6h,Bona,62 µg/m³,NA,NA,NA,26/06/2018 7:00,1529989505
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,6h,Buena,75 µg/m³,6h,Bona,16 µg/m³,7h,Buena,20 µg/m³,26/06/2018 7:00,1529989505
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,6h,Buena,64 µg/m³,6h,Bona,22 µg/m³,7h,Buena,21 µg/m³,26/06/2018 7:00,1529989505
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,6h,Bona,25 µg/m³,7h,Buena,23 µg/m³,26/06/2018 7:00,1529989505
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,5h,--,--,NA,NA,NA,26/06/2018 8:00,1529993102
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,7h,Buena,31 µg/m³,7h,Bona,63 µg/m³,7h,Buena,30 µg/m³,26/06/2018 8:00,1529993102
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,7h,Buena,34 µg/m³,7h,Bona,58 µg/m³,7h,Buena,22 µg/m³,26/06/2018 8:00,1529993102
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,7h,Buena,14 µg/m³,7h,Bona,63 µg/m³,NA,NA,NA,26/06/2018 8:00,1529993102
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,7h,Buena,57 µg/m³,7h,Bona,31 µg/m³,8h,Buena,20 µg/m³,26/06/2018 8:00,1529993102
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,7h,Buena,82 µg/m³,7h,Bona,15 µg/m³,7h,Buena,21 µg/m³,26/06/2018 8:00,1529993102
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,7h,Bona,44 µg/m³,7h,Buena,23 µg/m³,26/06/2018 8:00,1529993102
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,8h,Bona,77 µg/m³,NA,NA,NA,26/06/2018 9:00,1529996705
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,8h,Buena,7 µg/m³,8h,Regular,106 µg/m³,9h,Buena,28 µg/m³,26/06/2018 9:00,1529996705
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,8h,Buena,23 µg/m³,8h,Bona,75 µg/m³,9h,Buena,21 µg/m³,26/06/2018 9:00,1529996705
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,18 µg/m³,8h,Bona,62 µg/m³,NA,NA,NA,26/06/2018 9:00,1529996705
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,43 µg/m³,8h,Bona,45 µg/m³,9h,Buena,20 µg/m³,26/06/2018 9:00,1529996705
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,45 µg/m³,8h,Bona,56 µg/m³,9h,Buena,20 µg/m³,26/06/2018 9:00,1529996705
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,8h,Bona,66 µg/m³,9h,Buena,23 µg/m³,26/06/2018 9:00,1529996705
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,9h,Bona,78 µg/m³,NA,NA,NA,26/06/2018 10:00,1530000303
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,9h,Buena,8 µg/m³,9h,Regular,105 µg/m³,10h,Buena,28 µg/m³,26/06/2018 10:00,1530000303
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,9h,Buena,17 µg/m³,9h,Bona,80 µg/m³,10h,Buena,21 µg/m³,26/06/2018 10:00,1530000303
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,9h,Buena,34 µg/m³,9h,Bona,46 µg/m³,NA,NA,NA,26/06/2018 10:00,1530000303
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,9h,Buena,37 µg/m³,9h,Bona,51 µg/m³,9h,Buena,21 µg/m³,26/06/2018 10:00,1530000303
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,9h,Buena,23 µg/m³,9h,Bona,72 µg/m³,9h,Buena,20 µg/m³,26/06/2018 10:00,1530000303
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,9h,Bona,46 µg/m³,9h,Buena,23 µg/m³,26/06/2018 10:00,1530000303
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,10h,Bona,44 µg/m³,NA,NA,NA,26/06/2018 11:00,1530003903
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,10h,Buena,42 µg/m³,10h,Bona,82 µg/m³,10h,Buena,29 µg/m³,26/06/2018 11:00,1530003903
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,10h,Buena,49 µg/m³,10h,Bona,66 µg/m³,10h,Buena,21 µg/m³,26/06/2018 11:00,1530003903
