fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,num_personas,num_personas_hombres,num_personas_mujeres
2024-01-01T00:00:00Z,28079,Madrid,20,San Blas-canillejas,202,Hellin,9965,459,5375
2024-01-01T00:00:00Z,28079,Madrid,20,San Blas-canillejas,203,Amposta,9749,4564,5185
2024-01-01T00:00:00Z,28079,Madrid,20,San Blas-canillejas,204,Arcos,2628,12416,13864
2024-01-01T00:00:00Z,28079,Madrid,20,San Blas-canillejas,205,Rosas,30838,14734,16104
2024-01-01T00:00:00Z,28079,Madrid,20,San Blas-canillejas,206,Rejas,18196,8867,9329
2024-01-01T00:00:00Z,28079,Madrid,20,San Blas-canillejas,207,Canillejas,29943,13922,16021
2024-01-01T00:00:00Z,28079,Madrid,20,San Blas-canillejas,208,El Salvador,11454,5437,6017
2024-01-01T00:00:00Z,28079,Madrid,21,Barajas,211,Alameda De Osuna,19875,9484,10391
2024-01-01T00:00:00Z,28079,Madrid,21,Barajas,212,Aeropuerto,1949,990,959
2024-01-01T00:00:00Z,28079,Madrid,21,Barajas,213,Casco Historico De Barajas,7625,3658,3967
2024-01-01T00:00:00Z,28079,Madrid,21,Barajas,214,Timon,124,5878,6522
2024-01-01T00:00:00Z,28079,Madrid,21,Barajas,215,Corralejos,7763,3827,3936
2024-01-01T00:00:00Z,28079,Madrid,Todos,Todos,Todos,Todos,3460491,1620768,1839723
2023-01-01T00:00:00Z,28079,Madrid,1,Centro,1,Centro,139687,7077,68917
2023-01-01T00:00:00Z,28079,Madrid,2,Arganzuela,2,Arganzuela,153304,71754,8155
2023-01-01T00:00:00Z,28079,Madrid,3,Retiro,3,Retiro,117918,53458,6446
2023-01-01T00:00:00Z,28079,Madrid,4,Salamanca,4,Salamanca,145702,64452,8125
2023-01-01T00:00:00Z,28079,Madrid,5,Chamartin,5,Chamartin,144796,65245,79551
2023-01-01T00:00:00Z,28079,Madrid,6,Tetuan,6,Tetuan,160002,72938,87064
2023-01-01T00:00:00Z,28079,Madrid,7,Chamberi,7,Chamberi,138204,61149,77055
2023-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,8,Fuencarral-el Pardo,248443,116944,131499
2023-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,9,Moncloa-aravaca,121757,56357,654
2023-01-01T00:00:00Z,28079,Madrid,10,Latina,10,Latina,241672,112093,129579
2023-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,11,Carabanchel,262339,122632,139707
2023-01-01T00:00:00Z,28079,Madrid,12,Usera,12,Usera,142746,67538,75208
2023-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,13,Puente De Vallecas,241603,114542,127061
2023-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,14,Moratalaz,92814,42212,50602
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,15,Ciudad Lineal,220345,100759,119586
2023-01-01T00:00:00Z,28079,Madrid,16,Hortaleza,16,Hortaleza,198391,941,104291
2023-01-01T00:00:00Z,28079,Madrid,17,Villaverde,17,Villaverde,159038,76131,82907
2023-01-01T00:00:00Z,28079,Madrid,18,Villa De Vallecas,18,Villa De Vallecas,117501,56726,60775
2023-01-01T00:00:00Z,28079,Madrid,19,Vicalvaro,19,Vicalvaro,83804,4058,43224
2023-01-01T00:00:00Z,28079,Madrid,20,San Blas-canillejas,20,San Blas-canillejas,161219,76154,85065
2023-01-01T00:00:00Z,28079,Madrid,21,Barajas,21,Barajas,48646,23332,25314
2023-01-01T00:00:00Z,28079,Madrid,1,Centro,11,Palacio,23501,11557,11944
2023-01-01T00:00:00Z,28079,Madrid,1,Centro,12,Embajadores,46204,24094,2211
2023-01-01T00:00:00Z,28079,Madrid,1,Centro,13,Cortes,10816,535,5466
2023-01-01T00:00:00Z,28079,Madrid,1,Centro,14,Justicia,18219,9261,8958
2023-01-01T00:00:00Z,28079,Madrid,1,Centro,15,Universidad,32783,16269,16514
2023-01-01T00:00:00Z,28079,Madrid,1,Centro,16,Sol,8164,4239,3925
2023-01-01T00:00:00Z,28079,Madrid,2,Arganzuela,21,Imperial,22385,10421,11964
2023-01-01T00:00:00Z,28079,Madrid,2,Arganzuela,22,Acacias,36069,16616,19453
2023-01-01T00:00:00Z,28079,Madrid,2,Arganzuela,23,Chopera,19761,8992,10769
2023-01-01T00:00:00Z,28079,Madrid,2,Arganzuela,24,Legazpi,19468,9508,996
2023-01-01T00:00:00Z,28079,Madrid,2,Arganzuela,25,Delicias,28575,13463,15112
2023-01-01T00:00:00Z,28079,Madrid,2,Arganzuela,26,Palosdemoguer,25097,11797,133
2023-01-01T00:00:00Z,28079,Madrid,2,Arganzuela,27,Atocha,1949,957,992
2023-01-01T00:00:00Z,28079,Madrid,3,Retiro,31,Pacifico,33027,14809,18218
2023-01-01T00:00:00Z,28079,Madrid,3,Retiro,32,Adelfas,18832,8699,10133
2023-01-01T00:00:00Z,28079,Madrid,3,Retiro,33,Estrella,22649,10393,12256
2023-01-01T00:00:00Z,28079,Madrid,3,Retiro,34,Ibiza,21492,9568,11924
2023-01-01T00:00:00Z,28079,Madrid,3,Retiro,35,Losjeronimos,6825,3177,3648
2023-01-01T00:00:00Z,28079,Madrid,3,Retiro,36,Ninojesus,15093,6812,8281
2023-01-01T00:00:00Z,28079,Madrid,4,Salamanca,41,Recoletos,15444,6966,8478
2023-01-01T00:00:00Z,28079,Madrid,4,Salamanca,42,Goya,29477,12872,16605
2023-01-01T00:00:00Z,28079,Madrid,4,Salamanca,43,Fuentedelberro,20929,9129,118
2023-01-01T00:00:00Z,28079,Madrid,4,Salamanca,44,Guindalera,41964,19006,22958
2023-01-01T00:00:00Z,28079,Madrid,4,Salamanca,45,Lista,20969,9056,11913
2023-01-01T00:00:00Z,28079,Madrid,4,Salamanca,46,Castellana,16919,7423,9496
2023-01-01T00:00:00Z,28079,Madrid,5,Chamartin,51,Elviso,17274,781,9464
2023-01-01T00:00:00Z,28079,Madrid,5,Chamartin,52,Prosperidad,36027,16072,19955
2023-01-01T00:00:00Z,28079,Madrid,5,Chamartin,53,Ciudadjardin,18513,8234,10279
2023-01-01T00:00:00Z,28079,Madrid,5,Chamartin,54,Hispanoamerica,3147,14159,17311
2023-01-01T00:00:00Z,28079,Madrid,5,Chamartin,55,Nuevaespana,24466,1105,13416
2023-01-01T00:00:00Z,28079,Madrid,5,Chamartin,56,Castilla,17046,792,9126
2023-01-01T00:00:00Z,28079,Madrid,6,Tetuan,61,Bellasvistas,29355,13428,15927
2023-01-01T00:00:00Z,28079,Madrid,6,Tetuan,62,Cuatrocaminos,34753,15537,19216
2023-01-01T00:00:00Z,28079,Madrid,6,Tetuan,63,Castillejos,2057,9239,11331
2023-01-01T00:00:00Z,28079,Madrid,6,Tetuan,64,Almenara,23057,10688,12369
2023-01-01T00:00:00Z,28079,Madrid,6,Tetuan,65,Valdeacederas,26573,12442,14131
2023-01-01T00:00:00Z,28079,Madrid,6,Tetuan,66,Berruguete,25694,11604,1409
2023-01-01T00:00:00Z,28079,Madrid,7,Chamberi,71,Gaztambide,22959,10157,12802
2023-01-01T00:00:00Z,28079,Madrid,7,Chamberi,72,Arapiles,2419,10831,13359
2023-01-01T00:00:00Z,28079,Madrid,7,Chamberi,73,Trafalgar,24621,11147,13474
2023-01-01T00:00:00Z,28079,Madrid,7,Chamberi,74,Almagro,19418,8567,10851
2023-01-01T00:00:00Z,28079,Madrid,7,Chamberi,75,Riosrosas,27163,11828,15335
2023-01-01T00:00:00Z,28079,Madrid,7,Chamberi,76,Vallehermoso,19853,8619,11234
2023-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,81,Elpardo,3421,1716,1705
