num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S000202,2025-01-02T00:00:00Z,9:30:00,Avda. Albufera / Call. Sierra De Javalambre,11,13,Puente De Vallecas,Alcance,Despejado,Turismo,Conductor,40-44,M,14,Sin asistencia sanitaria,443329,4472101,true,
2025S000202,2025-01-02T00:00:00Z,9:30:00,Avda. Albufera / Call. Sierra De Javalambre,11,13,Puente De Vallecas,Alcance,Despejado,Turismo,Pasajero,25-29,F,14,Sin asistencia sanitaria,443329,4472101,false,
2025S000202,2025-01-02T00:00:00Z,9:30:00,Avda. Albufera / Call. Sierra De Javalambre,11,13,Puente De Vallecas,Alcance,Despejado,Turismo,Pasajero,30-34,M,14,Sin asistencia sanitaria,443329,4472101,false,
2025S000203,2025-01-02T00:00:00Z,11:30:00,Call. Edgar Neville / Call. Basilica,23,6,Tetuan,Colision Lateral,Despejado,Furgoneta,Conductor,35-39,M,14,Sin asistencia sanitaria,440911,4477860,false,
2025S000203,2025-01-02T00:00:00Z,11:30:00,Call. Edgar Neville / Call. Basilica,23,6,Tetuan,Colision Lateral,Despejado,Turismo,Conductor,25-29,M,14,Sin asistencia sanitaria,440911,4477860,false,
2025S000206,2025-01-02T00:00:00Z,10:35:00,Avda. Ciudad De Barcelona / Call. Doctor Esquerdo,190,3,Retiro,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,50-54,F,7,Asistencia sanitaria sólo en el lugar del accidente,442746,4472502,false,
2025S000208,2025-01-02T00:00:00Z,11:16:00,Call. Guetaria / Call. Alzola,90,12,Usera,Choque Contra Obstaculo Fijo,Despejado,Maquinaria de obras,Conductor,50-54,M,,,439239,4468858,false,
2025S000209,2025-01-02T00:00:00Z,11:10:00,"Call. Gonzalo Lopez, 3",3,11,Carabanchel,Colision Lateral,,Turismo,Conductor,60-64,M,,,438048,4470874,false,
2025S000209,2025-01-02T00:00:00Z,11:10:00,"Call. Gonzalo Lopez, 3",3,11,Carabanchel,Colision Lateral,,Turismo,Conductor,70-74,M,,,438048,4470874,false,
2025S000210,2025-01-02T00:00:00Z,9:50:00,"Paseo. Prado, 8",8,1,Centro,Colision Lateral,Despejado,Motocicleta > 125cc,Conductor,50-54,M,14,Sin asistencia sanitaria,441071,4474150,false,
2025S000210,2025-01-02T00:00:00Z,9:50:00,"Paseo. Prado, 8",8,1,Centro,Colision Lateral,Despejado,Motocicleta > 125cc,Pasajero,15-17,F,6,Asistencia sanitaria inmediata en centro de salud o mutua,441071,4474150,false,
2025S000210,2025-01-02T00:00:00Z,9:50:00,"Paseo. Prado, 8",8,1,Centro,Colision Lateral,Despejado,Turismo,Conductor,50-54,F,14,Sin asistencia sanitaria,441071,4474150,false,
2025S000215,2025-01-02T00:00:00Z,11:05:00,Call. Mendez Alvaro / Call. Retama,88,13,Puente De Vallecas,Alcance,Despejado,Furgoneta,Conductor,60-64,M,14,Sin asistencia sanitaria,442543,4471570,false,
2025S000215,2025-01-02T00:00:00Z,11:05:00,Call. Mendez Alvaro / Call. Retama,88,13,Puente De Vallecas,Alcance,Despejado,Turismo,Conductor,35-39,F,7,Asistencia sanitaria sólo en el lugar del accidente,442543,4471570,false,
2025S000217,2025-01-02T00:00:00Z,12:25:00,Paseo. La Habana / Call. Infanta Maria Teresa,72,5,Chamartin,Colision Fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,25-29,M,7,Asistencia sanitaria sólo en el lugar del accidente,442038,4478402,false,
2025S000217,2025-01-02T00:00:00Z,12:25:00,Paseo. La Habana / Call. Infanta Maria Teresa,72,5,Chamartin,Colision Fronto-lateral,Despejado,Turismo,Conductor,50-54,M,14,Sin asistencia sanitaria,442038,4478402,false,
2025S000218,2025-01-02T00:00:00Z,11:45:00,"Call. Argensola, 11",11,1,Centro,Colision Lateral,Despejado,Turismo,Conductor,45-49,M,14,Sin asistencia sanitaria,441061,4475212,false,
2025S000218,2025-01-02T00:00:00Z,11:45:00,"Call. Argensola, 11",11,1,Centro,Colision Lateral,Despejado,Turismo,Conductor,60-64,M,14,Sin asistencia sanitaria,441061,4475212,false,
2025S000229,2025-01-02T00:00:00Z,11:46:00,"Call. Colegiata, 17",17,1,Centro,Colision Lateral,,Motocicleta > 125cc,Conductor,35-39,M,,,440018,4473856,false,
2025S000229,2025-01-02T00:00:00Z,11:46:00,"Call. Colegiata, 17",17,1,Centro,Colision Lateral,,Turismo,Conductor,50-54,M,,,440018,4473856,false,
2025S000230,2025-01-02T00:00:00Z,12:55:00,"Call. Alto Del Retiro, 33",33,18,Villa De Vallecas,Colision Fronto-lateral,Despejado,Turismo,Conductor,35-39,F,,,449129,4468952,false,
2025S000230,2025-01-02T00:00:00Z,12:55:00,"Call. Alto Del Retiro, 33",33,18,Villa De Vallecas,Colision Fronto-lateral,Despejado,Turismo,Conductor,55-59,F,,,449129,4468952,false,
2025S000233,2025-01-02T00:00:00Z,12:40:00,Plaza Del Carmen 2,2,1,Centro,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,55-59,M,,,440326,4474488,false,
2025S000234,2025-01-02T00:00:00Z,14:10:00,Gta. Yucatan / Call. Peonias,1,16,Hortaleza,Colision Fronto-lateral,Despejado,Turismo,Conductor,55-59,M,14,Sin asistencia sanitaria,446875,4478031,false,
2025S000234,2025-01-02T00:00:00Z,14:10:00,Gta. Yucatan / Call. Peonias,1,16,Hortaleza,Colision Fronto-lateral,Despejado,Turismo,Conductor,55-59,F,1,Atención en urgencias sin posterior ingreso,446875,4478031,false,
2025S000236,2025-01-02T00:00:00Z,12:25:00,Avda. La Gavia / Call. La Adrada,35A,18,Villa De Vallecas,Colision Fronto-lateral,Despejado,Turismo,Conductor,21-24,M,7,Asistencia sanitaria sólo en el lugar del accidente,447974,4469184,false,
