num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,same_as_wikidata_tipo_vehiculo,tipo_persona,rango_edad,sexo,same_as_wikidata_sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S042681,2025-04-14T00:00:00Z,20:54,avda. logroño / call. playa de riazor,164A,21,barajas,https://www.wikidata.org/entity/Q807230,alcance,nublado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,50-54,woman,https://www.wikidata.org/entity/Q467,,,450624,4480716,false,
2025S042683,2025-04-14T00:00:00Z,18:40,"cñada. real de merinas, 64",325,19,vicalvaro,https://www.wikidata.org/entity/Q589403,alcance,,panel van,https://www.wikidata.org/entity/Q357884,conductor,40-44,man,https://www.wikidata.org/entity/Q8441,,,452759,4468316,false,
2025S042683,2025-04-14T00:00:00Z,18:40,"cñada. real de merinas, 64",325,19,vicalvaro,https://www.wikidata.org/entity/Q589403,alcance,,panel van,https://www.wikidata.org/entity/Q357884,conductor,50-54,man,https://www.wikidata.org/entity/Q8441,,,452759,4468316,false,
2025S042689,2025-04-14T00:00:00Z,20:01,avda. entrevias / call. timoteo perez rubio,2,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,solo salida de la via,nublado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,55-59,woman,https://www.wikidata.org/entity/Q467,7,asistencia sanitaria sólo en el lugar del accidente,442991,4471054,false,
2025S042689,2025-04-14T00:00:00Z,20:01,avda. entrevias / call. timoteo perez rubio,2,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,solo salida de la via,nublado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,442991,4471054,false,
2025S042713,2025-04-14T00:00:00Z,16:19,call. antonio machado / call. sinesio delgado,27,9,moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,colision lateral,,panel van,https://www.wikidata.org/entity/Q357884,conductor,45-49,man,https://www.wikidata.org/entity/Q8441,,,439026,4479660,false,
2025S042713,2025-04-14T00:00:00Z,16:19,call. antonio machado / call. sinesio delgado,27,9,moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,colision lateral,,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,18-20,man,https://www.wikidata.org/entity/Q8441,,,439026,4479660,false,
2025S042713,2025-04-14T00:00:00Z,16:19,call. antonio machado / call. sinesio delgado,27,9,moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,colision lateral,,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,25-29,man,https://www.wikidata.org/entity/Q8441,,,439026,4479660,false,
2025S042755,2025-04-14T00:00:00Z,21:50,call. alzina / call. maria zurita,1,11,carabanchel,https://www.wikidata.org/entity/Q1001991,choque contra obstaculo fijo,lluvia intensa,panel van,https://www.wikidata.org/entity/Q357884,conductor,25-29,man,https://www.wikidata.org/entity/Q8441,,,435824,4468965,false,
2025S042755,2025-04-14T00:00:00Z,21:50,call. alzina / call. maria zurita,1,11,carabanchel,https://www.wikidata.org/entity/Q1001991,choque contra obstaculo fijo,lluvia intensa,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,40-44,man,https://www.wikidata.org/entity/Q8441,,,435824,4468965,false,
